09-08 20:39:47 save_restore_layout.action_save_restore_layout 160:Plugin executed on: 'win32'
09-08 20:39:47 save_restore_layout.action_save_restore_layout 161:Plugin executed with python version: '2.7.16 (default, Aug 15 2019, 17:51:40)  [GCC 9.2.0 64 bit (AMD64)]'
09-08 20:39:47 save_restore_layout.action_save_restore_layout 162:KiCad build version: (5.1.6)-1
09-08 20:39:47 save_restore_layout.action_save_restore_layout 163:Save/Restore Layout plugin version: 51 started
09-08 20:39:49 save_restore_layout.action_save_restore_layout 200:Save layout chosen
09-08 20:39:49 save_restore_layout.save_restore_layout 845:Saving the current board temporary in order to leave current layout intact
09-08 20:39:50 save_restore_layout.save_restore_layout 855:Getting schematics info
09-08 20:39:50 save_restore_layout.save_restore_layout 180:getting project hierarchy from schematics
09-08 20:39:50 save_restore_layout.save_restore_layout 182:Project hierarchy looks like:
{u'68280FAF': [u'OBC_left', u'C:\\Users\\Filip.Filip\\Documents\\VST104\\board_delta\\OBC_left.sch'], u'5F9EC867': [u'OBC_right', u'C:\\Users\\Filip.Filip\\Documents\\VST104\\board_delta\\OBC_right.sch']}
09-08 20:39:50 save_restore_layout.save_restore_layout 857:Getting layout info
09-08 20:39:50 save_restore_layout.save_restore_layout 256:getting a list of all footprints on board
09-08 20:39:50 save_restore_layout.save_restore_layout 859:Updating layout info with schematics info
09-08 20:39:53 root 53:highlighting module: u'TRC8'
09-08 20:39:53 root 53:highlighting module: u'TRC7'
09-08 20:39:53 root 53:highlighting module: u'TRC5'
09-08 20:39:53 root 53:highlighting module: u'TRC4'
09-08 20:39:53 root 53:highlighting module: u'D4'
09-08 20:39:53 root 53:highlighting module: u'TP17'
09-08 20:39:53 root 53:highlighting module: u'TP15'
09-08 20:39:53 root 53:highlighting module: u'TP1'
09-08 20:39:53 root 53:highlighting module: u'C56'
09-08 20:39:53 root 53:highlighting module: u'C68'
09-08 20:39:53 root 53:highlighting module: u'C63'
09-08 20:39:53 root 53:highlighting module: u'C70'
09-08 20:39:53 root 53:highlighting module: u'C17'
09-08 20:39:53 root 53:highlighting module: u'C15'
09-08 20:39:53 root 53:highlighting module: u'R70'
09-08 20:39:53 root 53:highlighting module: u'R24'
09-08 20:39:53 root 53:highlighting module: u'R29'
09-08 20:39:53 root 53:highlighting module: u'R28'
09-08 20:39:53 root 53:highlighting module: u'M3'
09-08 20:39:53 root 53:highlighting module: u'TS7'
09-08 20:39:53 root 53:highlighting module: u'TS4'
09-08 20:39:53 root 53:highlighting module: u'TS1'
09-08 20:39:53 root 53:highlighting module: u'L1'
09-08 20:39:53 root 53:highlighting module: u'R9'
09-08 20:39:53 root 53:highlighting module: u'C13'
09-08 20:39:53 root 53:highlighting module: u'C64'
09-08 20:39:53 root 53:highlighting module: u'C18'
09-08 20:39:53 root 53:highlighting module: u'R18'
09-08 20:39:53 root 53:highlighting module: u'R2'
09-08 20:39:53 root 53:highlighting module: u'AS10'
09-08 20:39:53 root 53:highlighting module: u'C35'
09-08 20:39:53 root 53:highlighting module: u'EF1'
09-08 20:39:53 root 53:highlighting module: u'ESD1'
09-08 20:39:53 root 53:highlighting module: u'R62'
09-08 20:39:53 root 53:highlighting module: u'R60'
09-08 20:39:53 root 53:highlighting module: u'D3'
09-08 20:39:53 root 53:highlighting module: u'C28'
09-08 20:39:53 root 53:highlighting module: u'R35'
09-08 20:39:53 root 53:highlighting module: u'Y2'
09-08 20:39:53 root 53:highlighting module: u'R4'
09-08 20:39:53 root 53:highlighting module: u'R80'
09-08 20:39:53 root 53:highlighting module: u'R78'
09-08 20:39:53 root 53:highlighting module: u'R66'
09-08 20:39:53 root 53:highlighting module: u'R65'
09-08 20:39:53 root 53:highlighting module: u'R64'
09-08 20:39:53 root 53:highlighting module: u'R59'
09-08 20:39:53 root 53:highlighting module: u'R54'
09-08 20:39:53 root 53:highlighting module: u'R52'
09-08 20:39:53 root 53:highlighting module: u'R51'
09-08 20:39:53 root 53:highlighting module: u'R30'
09-08 20:39:53 root 53:highlighting module: u'R19'
09-08 20:39:53 root 53:highlighting module: u'LG1'
09-08 20:39:53 root 53:highlighting module: u'FB1'
09-08 20:39:53 root 53:highlighting module: u'C72'
09-08 20:39:53 root 53:highlighting module: u'C33'
09-08 20:39:53 root 53:highlighting module: u'C43'
09-08 20:39:53 root 53:highlighting module: u'C48'
09-08 20:39:53 root 53:highlighting module: u'C11'
09-08 20:39:53 root 53:highlighting module: u'C22'
09-08 20:39:53 root 53:highlighting module: u'AS2'
09-08 20:39:53 root 53:highlighting module: u'AS13'
09-08 20:39:53 root 53:highlighting module: u'AS9'
09-08 20:39:53 root 53:highlighting module: u'AS3'
09-08 20:39:53 root 53:highlighting module: u'TP20'
09-08 20:39:53 root 53:highlighting module: u'TP19'
09-08 20:39:53 root 53:highlighting module: u'TP16'
09-08 20:39:53 root 53:highlighting module: u'TP7'
09-08 20:39:53 root 53:highlighting module: u'TP3'
09-08 20:39:53 root 53:highlighting module: u'TP2'
09-08 20:39:53 root 53:highlighting module: u'C57'
09-08 20:39:53 root 53:highlighting module: u'U1'
09-08 20:39:53 root 53:highlighting module: u'C71'
